CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function,Count,CWE,Line Number,MISRA Category,Standard: AUTOSAR C++14,Standard: CERT C,Standard: CERT C++,Standard: DISA-STIG V4R10,Standard: DISA-STIG V4R10 Severity,Standard: DISA-STIG V4R3,Standard: DISA-STIG V4R3 Severity,Standard: ISO TS17961 2016,Standard: OWASP Mobile Top Ten 2016,Standard: OWASP Web Top Ten 2017,Standard: PCI DSS 2018
227744,Operands don't affect result,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/01.w_Defects/memory_allocation_failure.c,memory_allocation_failure_010_func_001,1,569,322,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227743,Explicit null dereferenced,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/01.w_Defects/null_pointer.c,null_pointer_002,1,476,34,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,None,None,6.5.6
227742,Out-of-bounds access,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/overrun_st.c,overrun_st_047,1,119,680,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227741,Double free,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/double_free.c,double_free_003,1,415,64,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227740,Uninitialized pointer write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/uninit_pointer.c,uninit_pointer_002,1,457,40,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227739,Double unlock,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,API usage errors,/01.w_Defects/unlock_without_lock.c,unlock_without_lock_004_tsk_002,1,765,280,None,None,None,None,None,None,None,None,None,None,None,None
227738,Dereference after null check,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/01.w_Defects/invalid_memory_access.c,invalid_memory_access_011,1,476,320,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,None,None,6.5.6
227737,'Constant' variable guards dead code,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Possible Control flow issues,/02.wo_Defects/lock_never_unlock.c,lock_never_unlock_008,2,561,497,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227736,Double lock,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Program hangs,/01.w_Defects/lock_never_unlock.c,lock_never_unlock_009_tsk_002,1,764,551,None,None,None,None,APSC-DV-001995,CAT II,APSC-DV-001995,CAT II,None,None,None,None
227735,Data race condition,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/01.w_Defects/unlock_without_lock.c,unlock_without_lock_008_tsk_001,1,366,514,None,None,None,None,APSC-DV-001995,CAT II,APSC-DV-001995,CAT II,None,M7,None,None
227733,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/overrun_st.c,overrun_st_039,1,119,538,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227732,Logically dead code,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/st_underrun.c,st_underrun_007,2,561,247,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227731,Infinite loop,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Program hangs,/01.w_Defects/endless_loop.c,endless_loop_006_func_001,1,835,109,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,M7,None,None
227730,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/01.w_Defects/free_null_pointer.c,free_null_pointer_011_func_002,1,676,392,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227729,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/buffer_overrun_dynamic.c,dynamic_buffer_overrun_001,1,119,26,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227728,Resource leak,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/02.wo_Defects/uninit_pointer.c,uninit_pointer_007,2,404,124,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,None
227727,Dereference after null check,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/01.w_Defects/invalid_memory_access.c,invalid_memory_access_001,1,476,45,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,None,None,6.5.6
227726,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/redundant_cond.c,redundant_cond_003,2,676,63,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227725,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/buffer_overrun_dynamic.c,dynamic_buffer_overrun_005,1,119,93,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227724,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/conflicting_cond.c,conflicting_cond_001,2,676,23,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227723,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/redundant_cond.c,redundant_cond_009,2,676,176,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227722,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/buffer_overrun_dynamic.c,dynamic_buffer_overrun_012,1,119,232,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227721,Dereference before null check,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/02.wo_Defects/buffer_overrun_dynamic.c,dynamic_buffer_overrun_024,2,476,434,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,None,None,6.5.6
227720,Bad bit shift operation,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/01.w_Defects/bit_shift.c,bit_shift_007,1,,93,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227719,Resource leak,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/01.w_Defects/memory_allocation_failure.c,memory_allocation_failure_001,1,404,41,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,None
227718,Logically dead code,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/memory_allocation_failure.c,memory_allocation_failure_012,4,561,442,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227717,Explicit null dereferenced,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/01.w_Defects/null_pointer.c,null_pointer_012,1,476,180,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,None,None,6.5.6
227716,Logically dead code,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/function_return_value_unchecked.c,function_return_value_unchecked_009,2,561,279,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227715,Resource leak,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/01.w_Defects/memory_leak.c,memory_leak_0012,1,404,309,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,None
227714,'Constant' variable guards dead code,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Possible Control flow issues,/01.w_Defects/dead_code.c,dead_code_002,1,561,40,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227713,Explicit null dereferenced,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/01.w_Defects/func_pointer.c,func_pointer_009,1,476,352,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,None,None,6.5.6
227712,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/redundant_cond.c,redundant_cond_012,2,676,236,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227711,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/redundant_cond.c,redundant_cond_006,2,676,120,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227710,Resource leak,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Resource leaks,/01.w_Defects/memory_leak.c,memory_leak_001,1,404,25,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,None
227709,Read from pointer after free,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/01.w_Defects/invalid_memory_access.c,invalid_memory_access_009,1,416,270,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227708,Uninitialized pointer read,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/01.w_Defects/uninit_pointer.c,uninit_pointer_015,1,457,357,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227707,Double free,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/double_free.c,double_free_010,1,415,187,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227706,Uninitialized scalar variable,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/02.wo_Defects/st_overflow.c,st_overflow_007,2,457,232,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227705,Free of array-typed value,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/free_nondynamic_allocated_memory.c,free_nondynamic_allocated_memory_009,1,590,141,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-003320,CAT II,None,None,None,6.5.6
227704,Bad bit shift operation,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/01.w_Defects/bit_shift.c,bit_shift_015,1,,208,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227703,Double free,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/double_free.c,double_free_001,1,415,22,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227701,Structurally dead code,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/null_pointer.c,null_pointer_016,2,561,282,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227700,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/buffer_overrun_dynamic.c,dynamic_buffer_overrun_013,1,119,247,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227699,Big parameter passed by value,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Performance inefficiencies,/02.wo_Defects/st_overflow.c,st_overflow_004_func_001,2,398,113,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227698,Constant expression result,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/01.w_Defects/conflicting_cond.c,conflicting_cond_001,1,569,24,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227697,Logically dead code,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/function_return_value_unchecked.c,function_return_value_unchecked_009,2,561,284,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227696,Logically dead code,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/01.w_Defects/conflicting_cond.c,conflicting_cond_005,1,561,103,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227695,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/memory_leak.c,memory_leak_007,2,676,197,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227694,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/not_return.c,not_return_002,2,676,55,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227693,Big parameter passed by value,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Performance inefficiencies,/02.wo_Defects/st_overflow.c,st_overflow_004_func_002,2,398,105,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227692,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/double_release.c,double_release_005_tskentry_001,2,676,245,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227691,Dereference after null check,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/01.w_Defects/invalid_memory_access.c,invalid_memory_access_012_func_001,2,476,371,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,None,None,6.5.6
227690,Logically dead code,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/free_null_pointer.c,free_null_pointer_011_func_001,5,561,379,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227689,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/conflicting_cond.c,conflicting_cond_005,2,676,102,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227688,Logically dead code,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/01.w_Defects/conflicting_cond.c,conflicting_cond_006,1,561,120,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227687,Uninitialized scalar variable,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/01.w_Defects/memory_allocation_failure.c,memory_allocation_failure_013,1,457,513,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227686,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/zero_division.c,zero_division_010,2,676,152,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227685,Logically dead code,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/st_overflow.c,st_overflow_007,2,561,236,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227684,Uninitialized scalar variable,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/02.wo_Defects/memory_allocation_failure.c,memory_allocation_failure_014,2,457,618,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227683,Uninitialized scalar variable,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/02.wo_Defects/st_underrun.c,st_underrun_006,2,457,207,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227682,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/overrun_st.c,overrun_st_012,1,119,158,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227681,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/bit_shift.c,bit_shift_009,2,676,119,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227680,Double free,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/double_free.c,double_free_007,1,415,131,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227679,Uninitialized pointer read,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/01.w_Defects/uninit_pointer.c,uninit_pointer_009,1,457,186,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227678,Useless call,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/01.w_Defects/function_return_value_unchecked.c,function_return_value_unchecked_002,1,,69,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227677,Double free,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/double_free.c,double_free_012,1,415,222,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227676,Structurally dead code,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/dead_code.c,dead_code_007,2,561,131,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227675,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/buffer_overrun_dynamic.c,dynamic_buffer_overrun_007,1,119,129,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227674,Infinite loop,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Program hangs,/02.wo_Defects/free_null_pointer.c,free_null_pointer_013,2,835,488,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,M7,None,None
227673,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/overrun_st.c,overrun_st_044,1,119,630,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227672,'Constant' variable guards dead code,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Possible Control flow issues,/01.w_Defects/dead_code.c,dead_code_009,1,561,168,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227671,Data race condition,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Concurrent data access violations,/02.wo_Defects/lock_never_unlock.c,lock_never_unlock_007_tsk_002,2,366,401,None,None,None,None,APSC-DV-001995,CAT II,APSC-DV-001995,CAT II,None,M7,None,None
227670,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/overrun_st.c,overrun_st_011,1,119,142,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227669,Bad bit shift operation,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/01.w_Defects/bit_shift.c,bit_shift_012,1,,163,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227668,Double unlock,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,API usage errors,/01.w_Defects/unlock_without_lock.c,unlock_without_lock_008_tsk_002,1,765,543,None,None,None,None,None,None,None,None,None,None,None,None
227667,Use after free,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/01.w_Defects/invalid_memory_access.c,invalid_memory_access_003,1,416,105,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227666,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/02.wo_Defects/st_underrun.c,st_underrun_006,2,119,204,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227665,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/01.w_Defects/null_pointer.c,null_pointer_006,1,676,104,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227664,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/redundant_cond.c,redundant_cond_010,2,676,196,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227663,Negative array index write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/buffer_underrun_dynamic.c,dynamic_buffer_underrun_032,1,129,605,None,None,None,None,APSC-DV-002560,CAT I,None,None,None,None,None,6.5.6
227662,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/buffer_overrun_dynamic.c,dynamic_buffer_overrun_014,1,119,262,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227661,Double lock,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Program hangs,/01.w_Defects/lock_never_unlock.c,lock_never_unlock_007_tsk_002,1,764,398,None,None,None,None,APSC-DV-001995,CAT II,APSC-DV-001995,CAT II,None,None,None,None
227660,Out-of-bounds read,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/01.w_Defects/overrun_st.c,overrun_st_008,1,125,99,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227659,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/overrun_st.c,overrun_st_049,1,119,706,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227658,Bad bit shift operation,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/01.w_Defects/bit_shift.c,bit_shift_008,1,,106,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227657,Missing unlock,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Program hangs,/01.w_Defects/lock_never_unlock.c,lock_never_unlock_008_tsk_001,1,667,461,None,None,None,None,APSC-DV-001995,CAT II,APSC-DV-001995,CAT II,None,None,None,None
227655,Bad bit shift operation,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/01.w_Defects/bit_shift.c,bit_shift_017,1,,236,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227654,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/buffer_overrun_dynamic.c,dynamic_buffer_overrun_004,1,119,76,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227653,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/double_release.c,double_release_004_tskentry_001,2,676,196,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227652,Use after free,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - illegal accesses,/01.w_Defects/invalid_memory_access.c,invalid_memory_access_008,1,416,224,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227651,Destination buffer too small,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/02.wo_Defects/st_underrun.c,st_underrun_006,2,120,204,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227650,Structurally dead code,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/02.wo_Defects/free_null_pointer.c,free_null_pointer_007,2,561,195,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,M7,None,None
227649,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/overrun_st.c,overrun_st_023,1,119,306,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227648,Uninitialized scalar variable,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Uninitialized variables,/01.w_Defects/wrong_arguments_func_pointer.c,wrong_arguments_func_pointer_012_func_002,1,457,336,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227647,Explicit null dereferenced,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/01.w_Defects/null_pointer.c,null_pointer_011,1,476,173,None,None,None,None,APSC-DV-003320,CAT II,APSC-DV-003320,CAT II,None,None,None,6.5.6
227646,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/01.w_Defects/buffer_underrun_dynamic.c,dynamic_buffer_underrun_013,1,676,248,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227645,Out-of-bounds write,High,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Memory - corruptions,/01.w_Defects/buffer_overrun_dynamic.c,dynamic_buffer_overrun_002,1,119,41,None,None,None,None,APSC-DV-002590,CAT I,APSC-DV-002590,CAT I,None,M7,None,6.5.6
227644,Big parameter passed by value,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Performance inefficiencies,/02.wo_Defects/st_overflow.c,st_overflow_002_func_001,2,398,47,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
227643,Calling risky function,Low,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Security best practices violations,/02.wo_Defects/double_release.c,double_release_003_tskentry_001,2,676,151,None,None,None,None,APSC-DV-002460,CAT II,APSC-DV-002460,CAT II,None,None,None,6.5.3
227642,Bad bit shift operation,Medium,New,10/09/19,Unassigned,Unclassified,Unspecified,Undecided,Other,Integer handling issues,/01.w_Defects/bit_shift.c,bit_shift_006,1,,81,None,None,None,None,APSC-DV-003215,CAT III,None,None,None,None,None,None
